,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
14062,1984-10-12,India,Yemen,4,0,AFC Asian Cup qualification,Calcutta,India,False
14064,1984-10-13,South Korea,Pakistan,6,0,AFC Asian Cup qualification,Calcutta,India,True
14068,1984-10-14,India,Malaysia,2,1,AFC Asian Cup qualification,Calcutta,India,False
14072,1984-10-15,Pakistan,Yemen,4,1,AFC Asian Cup qualification,Calcutta,India,True
14074,1984-10-16,South Korea,Malaysia,0,0,AFC Asian Cup qualification,Calcutta,India,True
14080,1984-10-17,India,Pakistan,2,0,AFC Asian Cup qualification,Calcutta,India,False
14089,1984-10-18,Malaysia,Yemen,4,1,AFC Asian Cup qualification,Calcutta,India,True
14090,1984-10-19,India,South Korea,0,1,AFC Asian Cup qualification,Calcutta,India,False
14254,1985-01-20,Iran,Yugoslavia,1,3,Nehru Cup,Ernakulam,India,True
14255,1985-01-21,China PR,Russia,2,3,Nehru Cup,Ernakulam,India,True
14257,1985-01-25,Russia,Yugoslavia,1,2,Nehru Cup,Ernakulam,India,True
14260,1985-01-28,Iran,Russia,0,2,Nehru Cup,Ernakulam,India,True
14261,1985-01-29,China PR,Yugoslavia,1,1,Nehru Cup,Ernakulam,India,True
14265,1985-01-31,India,Morocco,0,1,Nehru Cup,Ernakulam,India,False
14268,1985-02-02,Morocco,Russia,0,1,Nehru Cup,Ernakulam,India,True
14274,1985-02-04,Yugoslavia,Russia,1,2,Nehru Cup,Ernakulam,India,True
14435,1985-04-06,India,Indonesia,1,1,FIFA World Cup qualification,Calcutta,India,False
14444,1985-04-09,India,Thailand,1,1,FIFA World Cup qualification,Calcutta,India,False
14446,1985-04-12,India,Bangladesh,2,1,FIFA World Cup qualification,Calcutta,India,False
14520,1985-05-05,Iraq,Qatar,2,1,FIFA World Cup qualification,Calcutta,India,True
14839,1986-01-25,India,China PR,0,0,Nehru Cup,Trivandrum,India,False
14841,1986-01-28,China PR,Peru,3,1,Nehru Cup,Trivandrum,India,True
14845,1986-01-30,India,Peru,0,1,Nehru Cup,Trivandrum,India,False
15266,1987-01-14,India,China PR,1,1,Nehru Cup,Calicut,India,False
15272,1987-01-27,Nigeria,Syria,1,0,Nehru Cup,Calicut,India,True
16203,1989-01-27,India,North Korea,1,2,Nehru Cup,Margao,India,False
17256,1991-01-11,Russia,Zambia,4,0,Nehru Cup,Trivandrum,India,True
17260,1991-01-14,Hungary,Russia,1,1,Nehru Cup,Trivandrum,India,True
17262,1991-01-17,India,Hungary,1,2,Nehru Cup,Trivandrum,India,False
17263,1991-01-20,India,Zambia,1,0,Nehru Cup,Trivandrum,India,False
17269,1991-01-23,Hungary,Zambia,4,1,Nehru Cup,Trivandrum,India,True
17270,1991-01-24,India,Russia,1,3,Nehru Cup,Trivandrum,India,False
17878,1992-05-11,Iran,Pakistan,7,0,AFC Asian Cup qualification,Calcutta,India,True
17885,1992-05-15,India,Iran,0,3,AFC Asian Cup qualification,Calcutta,India,False
18376,1993-01-19,North Korea,Bolivia,2,1,Nehru Cup,Madras,India,True
18378,1993-01-20,India,Finland,0,0,Nehru Cup,Madras,India,False
18381,1993-01-22,Cameroon,Finland,0,0,Nehru Cup,Madras,India,True
18386,1993-01-24,India,Cameroon,1,1,Nehru Cup,Madras,India,False
18388,1993-01-25,Bolivia,Russia,1,2,Nehru Cup,Madras,India,True
18389,1993-01-26,India,Finland,0,2,Nehru Cup,Madras,India,False
18393,1993-01-28,Cameroon,Finland,2,0,Nehru Cup,Madras,India,True
